,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_04_0_bar_x,ax_04_0_bar_y,ax_05_0_bar_x,ax_05_0_bar_y
129,,,,,2,29,0.0031232834,NONE_STR,2,29,9.7334385e-05,2,29,-0.003025949,,,,
130,,,,,2,30,0.004021883,NONE_STR,2,30,9.024143e-05,2,30,-0.0039316416,,,,
131,,,,,2,31,0.0029386878,NONE_STR,2,31,0.00013756752,2,31,-0.0028011203,,,,
132,,,,,2,32,0.002959311,NONE_STR,2,32,6.747246e-05,2,32,-0.0028918386,,,,
133,,,,,2,33,0.0031483173,NONE_STR,2,33,0.0001039505,2,33,-0.0030443668,,,,
134,,,,,2,34,0.0031129122,NONE_STR,2,34,9.816885e-05,2,34,-0.0030147433,,,,
135,,,,,2,35,0.0029047132,NONE_STR,2,35,0.00026905537,2,35,-0.0026356578,,,,
136,,,,,2,36,0.0028213859,NONE_STR,2,36,0.00011706352,2,36,-0.0027043223,,,,
137,,,,,2,37,0.0030907989,NONE_STR,2,37,0.0001322031,2,37,-0.0029585958,,,,
138,,,,,2,38,0.0026580691,NONE_STR,2,38,8.481741e-05,2,38,-0.0025732517,,,,
139,,,,,2,39,0.0025038123,NONE_STR,2,39,9.137392e-05,2,39,-0.0024124384,,,,
140,,,,,2,40,0.0024749637,NONE_STR,2,40,0.000119924545,2,40,-0.0023550391,,,,
141,,,,,2,41,0.0028488636,NONE_STR,2,41,0.00010418892,2,41,-0.0027446747,,,,
142,,,,,2,42,0.0035373569,NONE_STR,2,42,0.00011020899,2,42,-0.0034271479,,,,
143,,,,,2,43,0.0039263964,NONE_STR,2,43,6.568432e-05,2,43,-0.003860712,,,,
144,,,,,2,44,0.004053831,NONE_STR,2,44,9.483099e-05,2,44,-0.003959,,,,
145,,,,,2,45,0.0040314794,NONE_STR,2,45,0.00011831522,2,45,-0.003913164,,,,
146,,,,,2,46,0.004564345,NONE_STR,2,46,0.00012254715,2,46,-0.0044417977,,,,
147,,,,,2,47,0.004662335,NONE_STR,2,47,8.9108944e-05,2,47,-0.004573226,,,,
148,,,,,2,48,0.0045847297,NONE_STR,2,48,0.00019085407,2,48,-0.0043938756,,,,
149,,,,,2,49,0.0045424104,NONE_STR,2,49,0.00012886524,2,49,-0.004413545,,,,
150,,,,,3,0,0.002123952,NONE_STR,3,0,0.00094366074,3,0,-0.0011802912,,,,
151,,,,,3,1,0.0017655492,NONE_STR,3,1,0.0016557574,3,1,-0.000109791756,,,,
152,,,,,3,2,0.0011797547,NONE_STR,3,2,0.0010253191,3,2,-0.00015443563,,,,
153,,,,,3,3,0.0013467073,NONE_STR,3,3,0.0009766221,3,3,-0.00037008524,,,,
154,,,,,3,4,0.0018625855,NONE_STR,3,4,0.000972867,3,4,-0.00088971853,,,,
155,,,,,3,5,0.0018775463,NONE_STR,3,5,0.0012277365,3,5,-0.00064980984,,,,
156,,,,,3,6,0.0024679303,NONE_STR,3,6,0.0010423064,3,6,-0.0014256239,,,,
157,,,,,3,7,0.0028342009,NONE_STR,3,7,0.0010234118,3,7,-0.0018107891,,,,
158,,,,,3,8,0.0023314357,NONE_STR,3,8,0.0011634231,3,8,-0.0011680126,,,,
159,,,,,3,9,0.0020825267,NONE_STR,3,9,0.0012543797,3,9,-0.00082814693,,,,
160,,,,,3,10,0.0027188063,NONE_STR,3,10,0.0011047721,3,10,-0.0016140342,,,,
161,,,,,3,11,0.0035480857,NONE_STR,3,11,0.0010784268,3,11,-0.0024696589,,,,
162,,,,,3,12,0.0035387874,NONE_STR,3,12,0.03631085,3,12,0.032772064,,,,
163,,,,,3,13,0.003105998,NONE_STR,3,13,0.010697603,3,13,0.007591605,,,,
164,,,,,3,14,0.0021030903,NONE_STR,3,14,0.0009778142,3,14,-0.0011252761,,,,
165,,,,,3,15,0.002685964,NONE_STR,3,15,0.0017746091,3,15,-0.000911355,,,,
166,,,,,3,16,0.002896607,NONE_STR,3,16,0.007517636,3,16,0.004621029,,,,
167,,,,,3,17,0.002221644,NONE_STR,3,17,0.0015506148,3,17,-0.0006710291,,,,
168,,,,,3,18,0.0032175183,NONE_STR,3,18,0.0017655492,3,18,-0.0014519691,,,,
169,,,,,3,19,0.003193915,NONE_STR,3,19,0.0013120174,3,19,-0.0018818974,,,,
170,,,,,3,20,0.008106768,NONE_STR,3,20,0.0012694597,3,20,-0.0068373084,,,,
171,,,,,3,21,0.0055149198,NONE_STR,3,21,0.0011020899,3,21,-0.00441283,,,,
172,,,,,3,22,0.004541576,NONE_STR,3,22,0.0009086728,3,22,-0.003632903,,,,
173,,,,,3,23,0.005913973,NONE_STR,3,23,0.0010409951,3,23,-0.0048729777,,,,
174,,,,,3,24,0.0066025257,NONE_STR,3,24,0.006879449,3,24,0.00027692318,,,,
175,,,,,3,25,0.0048520565,NONE_STR,3,25,0.0015134215,3,25,-0.003338635,,,,
176,,,,,3,26,0.0046503544,NONE_STR,3,26,0.0014441609,3,26,-0.0032061934,,,,
177,,,,,3,27,0.009268582,NONE_STR,3,27,0.0010402203,3,27,-0.008228362,,,,
178,,,,,3,28,0.004581511,NONE_STR,3,28,0.0012263656,3,28,-0.0033551455,,,,
179,,,,,3,29,0.0029135346,NONE_STR,3,29,0.009361148,3,29,0.0064476132,,,,
180,,,,,3,30,0.0037899613,NONE_STR,3,30,0.0011413097,3,30,-0.0026486516,,,,
181,,,,,3,31,0.0026276112,NONE_STR,3,31,0.0013783574,3,31,-0.0012492537,,,,
182,,,,,3,32,0.0027248263,NONE_STR,3,32,0.0010180473,3,32,-0.001706779,,,,
183,,,,,3,33,0.0028761625,NONE_STR,3,33,0.016370058,3,33,0.0134938955,,,,
184,,,,,3,34,0.0028217435,NONE_STR,3,34,0.008362889,3,34,0.005541146,,,,
185,,,,,3,35,0.0026980639,NONE_STR,3,35,0.0011860132,3,35,-0.0015120506,,,,
186,,,,,3,36,0.0026462078,NONE_STR,3,36,0.001039505,3,36,-0.0016067028,,,,
187,,,,,3,37,0.003106773,NONE_STR,3,37,0.032699168,3,37,0.029592395,,,,
