,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_02_0_bar_x,ax_02_0_bar_y,ax_03_0_hist_x
131,,,,,1,31,0.0035209856,NONE_STR,,,0.0035209856
132,,,,,1,32,0.004409234,NONE_STR,,,0.004409234
133,,,,,1,33,0.005525609,NONE_STR,,,0.005525609
134,,,,,1,34,0.006687443,NONE_STR,,,0.006687443
135,,,,,1,35,0.0077103376,NONE_STR,,,0.0077103376
136,,,,,1,36,0.00852718,NONE_STR,,,0.00852718
137,,,,,1,37,0.009026627,NONE_STR,,,0.009026627
138,,,,,1,38,0.009261191,NONE_STR,,,0.009261191
139,,,,,1,39,0.009206991,NONE_STR,,,0.009206991
140,,,,,1,40,0.008909385,NONE_STR,,,0.008909385
141,,,,,1,41,0.008550346,NONE_STR,,,0.008550346
142,,,,,1,42,0.008106689,NONE_STR,,,0.008106689
143,,,,,1,43,0.0076111755,NONE_STR,,,0.0076111755
144,,,,,1,44,0.0072229705,NONE_STR,,,0.0072229705
145,,,,,1,45,0.0068439445,NONE_STR,,,0.0068439445
146,,,,,1,46,0.0063733063,NONE_STR,,,0.0063733063
147,,,,,1,47,0.005921364,NONE_STR,,,0.005921364
148,,,,,1,48,0.005502045,NONE_STR,,,0.005502045
149,,,,,1,49,0.0053402586,NONE_STR,,,0.0053402586
150,,,,,1,50,0.005488376,NONE_STR,,,0.005488376
151,,,,,1,51,0.00571241,NONE_STR,,,0.00571241
152,,,,,1,52,0.0058777137,NONE_STR,,,0.0058777137
153,,,,,1,53,0.005786121,NONE_STR,,,0.005786121
154,,,,,1,54,0.005414804,NONE_STR,,,0.005414804
155,,,,,1,55,0.0050549507,NONE_STR,,,0.0050549507
156,,,,,1,56,0.004835089,NONE_STR,,,0.004835089
157,,,,,1,57,0.0045223637,NONE_STR,,,0.0045223637
158,,,,,1,58,0.0040564938,NONE_STR,,,0.0040564938
159,,,,,1,59,0.003573835,NONE_STR,,,0.003573835
160,,,,,1,60,0.0032816133,NONE_STR,,,0.0032816133
161,,,,,1,61,0.0033070645,NONE_STR,,,0.0033070645
162,,,,,1,62,0.0034474134,NONE_STR,,,0.0034474134
163,,,,,1,63,0.0036320887,NONE_STR,,,0.0036320887
