,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_02_0_bar_x,ax_02_0_bar_y,ax_03_0_hist_x
2374,23,74,0.0014248888,,,0.0014248888
2375,23,75,0.0014315447,,,0.0014315447
2376,23,76,0.0014645457,,,0.0014645457
2377,23,77,0.0015164813,,,0.0015164813
2378,23,78,0.0015640061,,,0.0015640061
2379,23,79,0.0015845895,,,0.0015845895
2380,23,80,0.0015796821,,,0.0015796821
2381,23,81,0.0015663903,,,0.0015663903
2382,23,82,0.0015535157,,,0.0015535157
2383,23,83,0.0015356343,,,0.0015356343
2384,23,84,0.0015068253,,,0.0015068253
2385,23,85,0.0014714202,,,0.0014714202
2386,23,86,0.0014419358,,,0.0014419358
2387,23,87,0.0014275511,,,0.0014275511
2388,23,88,0.0014308095,,,0.0014308095
2389,23,89,0.0014528036,,,0.0014528036
2390,23,90,0.0014905334,,,0.0014905334
2391,23,91,0.0015859207,,,0.0015859207
2392,23,92,0.0018632412,,,0.0018632412
2393,23,93,0.0027455091,,,0.0027455091
2394,23,94,0.0043622255,,,0.0043622255
2395,23,95,0.0045873127,,,0.0045873127
2396,23,96,0.0038007498,,,0.0038007498
2397,23,97,0.002974391,,,0.002974391
2398,23,98,0.0020793478,,,0.0020793478
2399,23,99,0.001696229,,,0.001696229
2400,24,0,0.001541098,,,0.001541098
2401,24,1,0.0011930268,,,0.0011930268
2402,24,2,0.0008599758,,,0.0008599758
2403,24,3,0.00075155497,,,0.00075155497
2404,24,4,0.00074255466,,,0.00074255466
2405,24,5,0.00071144104,,,0.00071144104
2406,24,6,0.0006760558,,,0.0006760558
2407,24,7,0.00068849325,,,0.00068849325
2408,24,8,0.0006130537,,,0.0006130537
2409,24,9,0.0004464388,,,0.0004464388
2410,24,10,0.0002959172,,,0.0002959172
2411,24,11,0.0003029108,,,0.0003029108
2412,24,12,0.0004977783,,,0.0004977783
2413,24,13,0.0009762446,,,0.0009762446
2414,24,14,0.0016545852,,,0.0016545852
2415,24,15,0.0023035011,,,0.0023035011
2416,24,16,0.002662758,,,0.002662758
2417,24,17,0.0026337109,,,0.0026337109
2418,24,18,0.0023182235,,,0.0023182235
2419,24,19,0.0018600821,,,0.0018600821
2420,24,20,0.0014130076,,,0.0014130076
2421,24,21,0.0011710923,,,0.0011710923
2422,24,22,0.0010697644,,,0.0010697644
2423,24,23,0.0010852417,,,0.0010852417
2424,24,24,0.001118958,,,0.001118958
2425,24,25,0.0012362998,,,0.0012362998
2426,24,26,0.0013183355,,,0.0013183355
2427,24,27,0.00125436,,,0.00125436
2428,24,28,0.0010043185,,,0.0010043185
2429,24,29,0.00069477165,,,0.00069477165
2430,24,30,0.00054200494,,,0.00054200494
2431,24,31,0.000706176,,,0.000706176
2432,24,32,0.001134793,,,0.001134793
2433,24,33,0.0017327865,,,0.0017327865
2434,24,34,0.0023473701,,,0.0023473701
2435,24,35,0.002834817,,,0.002834817
2436,24,36,0.003068626,,,0.003068626
2437,24,37,0.0030390422,,,0.0030390422
2438,24,38,0.0028597913,,,0.0028597913
2439,24,39,0.0023926895,,,0.0023926895
