,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_03_0_scatter_x,ax_03_0_scatter_y,ax_03_1_plot_x,ax_03_1_plot_y
116,1,16,0.00090676546,1,16,0.01185204,1,16,-2.044534,0.00090676546,0.01185204,,
117,1,17,0.0010091662,1,17,0.011876855,1,17,-2.0382195,0.0010091662,0.011876855,,
118,1,18,0.0011578798,1,18,0.011930432,1,18,-1.9907782,0.0011578798,0.011930432,,
119,1,19,0.0013411641,1,19,0.012009501,1,19,-1.9225554,0.0013411641,0.012009501,,
120,1,20,0.0016505718,1,20,0.012133281,1,20,-1.8715428,0.0016505718,0.012133281,,
121,1,21,0.0019037724,1,21,0.012231662,1,21,-1.8344667,0.0019037724,0.012231662,,
122,1,22,0.002016604,1,22,0.012295284,1,22,-1.8244746,0.002016604,0.012295284,,
123,1,23,0.0019541383,1,23,0.012325373,1,23,-1.8476452,0.0019541383,0.012325373,,
124,1,24,0.0017575622,1,24,0.012333968,1,24,-1.8962793,0.0017575622,0.012333968,,
125,1,25,0.0015459061,1,25,0.012343381,1,25,-1.9462215,0.0015459061,0.012343381,,
126,1,26,0.0014665723,1,26,0.012374954,1,26,-1.9622605,0.0014665723,0.012374954,,
127,1,27,0.0016171932,1,27,0.012422547,1,27,-1.9162616,0.0016171932,0.012422547,,
128,1,28,0.001991272,1,28,0.01246103,1,28,-1.8061066,0.001991272,0.01246103,,
129,1,29,0.0025020838,1,29,0.012497294,1,29,-1.6545862,0.0025020838,0.012497294,,
130,1,30,0.0030123591,1,30,0.012518964,1,30,-1.498367,0.0030123591,0.012518964,,
131,1,31,0.0033747554,1,31,0.012513089,1,31,-1.3685081,0.0033747554,0.012513089,,
132,1,32,0.0034769177,1,32,0.012472311,1,32,-1.2812247,0.0034769177,0.012472311,,
133,1,33,0.0032717586,1,33,0.012388973,1,33,-1.2383003,0.0032717586,0.012388973,,
134,1,34,0.0028958917,1,34,0.01224623,1,34,-1.2149031,0.0028958917,0.01224623,,
135,1,35,0.0024831295,1,35,0.012006202,1,35,-1.1932577,0.0024831295,0.012006202,,
136,1,36,0.0021300316,1,36,0.011641769,1,36,-1.1612773,0.0021300316,0.011641769,,
137,1,37,0.0019479394,1,37,0.011306145,1,37,-1.1131793,0.0019479394,0.011306145,,
138,1,38,0.0019248724,1,38,0.011039817,1,38,-1.0567085,0.0019248724,0.011039817,,
139,1,39,0.0020077825,1,39,0.010817198,1,39,-1.0004472,0.0020077825,0.010817198,,
140,1,40,0.002120912,1,40,0.010585036,1,40,-0.9530301,0.002120912,0.010585036,,
141,1,41,0.002192974,1,41,0.010287164,1,41,-0.92176414,0.002192974,0.010287164,,
142,1,42,0.0022680163,1,42,0.009944398,1,42,-0.90586907,0.0022680163,0.009944398,,
143,1,43,0.002364874,1,43,0.009580498,1,43,-0.9010581,0.002364874,0.009580498,,
144,1,44,0.0024855137,1,44,0.009229072,1,44,-0.9000843,0.0024855137,0.009229072,,
145,1,45,0.0026459098,1,45,0.008889405,1,45,-0.8925145,0.0026459098,0.008889405,,
146,1,46,0.0028195977,1,46,0.008538858,1,46,-0.8738799,0.0028195977,0.008538858,,
147,1,47,0.00295192,1,47,0.008151185,1,47,-0.84541124,0.00295192,0.008151185,,
148,1,48,0.0029982328,1,48,0.0077311206,1,48,-0.8188332,0.0029982328,0.0077311206,,
149,1,49,0.0029438138,1,49,0.0073231244,1,49,-0.81332564,0.0029438138,0.0073231244,,
150,1,50,0.0028027892,1,50,0.0069679436,1,50,-0.8419624,0.0028027892,0.0069679436,,
151,1,51,0.0026218295,1,51,0.0067157764,1,51,-0.9083096,0.0026218295,0.0067157764,,
152,1,52,0.0024650693,1,52,0.006616729,1,52,-1.0028058,0.0024650693,0.006616729,,
153,1,53,0.0023850203,1,53,0.0066900607,1,53,-1.0987296,0.0023850203,0.0066900607,,
154,1,54,0.0023534894,1,54,0.0068955407,1,54,-1.1698836,0.0023534894,0.0068955407,,
155,1,55,0.0023379326,1,55,0.0072247214,1,55,-1.2176836,0.0023379326,0.0072247214,,
156,1,56,0.0024249554,1,56,0.0076435073,1,56,-1.2328866,0.0024249554,0.0076435073,,
157,1,57,0.0026156306,1,57,0.00808455,1,57,-1.2207935,0.0026156306,0.00808455,,
158,1,58,0.00291121,1,58,0.008487617,1,58,-1.1850797,0.00291121,0.008487617,,
159,1,59,0.0033034682,1,59,0.008814431,1,59,-1.1312608,0.0033034682,0.008814431,,
160,1,60,0.0037431717,1,60,0.009038106,1,60,-1.0730004,0.0037431717,0.009038106,,
161,1,61,0.004195392,1,61,0.009193879,1,61,-1.0166321,0.004195392,0.009193879,,
162,1,62,0.0045933723,1,62,0.009331494,1,62,-0.97630763,0.0045933723,0.009331494,,
163,1,63,0.004929185,1,63,0.009502139,1,63,-0.95325655,0.004929185,0.009502139,,
164,1,64,0.0051987767,1,64,0.009724427,1,64,-0.9426275,0.0051987767,0.009724427,,
165,1,65,0.0053833723,1,65,0.009990455,1,65,-0.93867666,0.0053833723,0.009990455,,
166,1,66,0.005529821,1,66,0.010310054,1,66,-0.9302666,0.005529821,0.010310054,,
167,1,67,0.0056969523,1,67,0.010679457,1,67,-0.9086006,0.0056969523,0.010679457,,
168,1,68,0.0059509873,1,68,0.011091185,1,68,-0.86925155,0.0059509873,0.011091185,,
169,1,69,0.0063434243,1,69,0.011517782,1,69,-0.8128812,0.0063434243,0.011517782,,
170,1,70,0.0069363713,1,70,0.011888772,1,70,-0.7342211,0.0069363713,0.011888772,,
171,1,71,0.0077135563,1,71,0.012059157,1,71,-0.62483025,0.0077135563,0.012059157,,
172,1,72,0.008649766,1,72,0.011997061,1,72,-0.47583437,0.008649766,0.011997061,,
173,1,73,0.009748578,1,73,0.011737892,1,73,-0.27979693,0.009748578,0.011737892,,
174,1,74,0.011244953,1,74,0.011460577,1,74,-0.029786918,0.011244953,0.011460577,,
175,1,75,0.012987852,1,75,0.011292193,1,75,0.22802582,0.012987852,0.011292193,,
176,1,76,0.013732016,1,76,0.01114819,1,76,0.34408334,0.013732016,0.01114819,,
177,1,77,0.012790263,1,77,0.011026005,1,77,0.23820093,0.012790263,0.011026005,,
178,1,78,0.010825455,1,78,0.010893655,1,78,-0.009596569,0.010825455,0.010893655,,
